id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,10830.2,1.0,1026
SYN-0328,herbalist,2062.6,1.0,519
SYN-0329,herbalist,1501.1,1.0,434
SYN-0330,herbalist,1223.3,1.0,334
SYN-0331,herbalist,7902.6,0.0,1427
SYN-0332,guard,1218.3,1.0,231
SYN-0333,guard,1609.8,1.0,450
SYN-0334,guard,423.1,1.0,54
SYN-0335,guard,1377.5,0.0,432
SYN-0336,guard,2445.2,0.0,791
SYN-0337,guard,1950.1,0.0,486
SYN-0338,guard,1348.7,1.0,396
SYN-0339,merchant,4974.5,1.0,1343
SYN-0340,merchant,1593.6,1.0,459
SYN-0341,merchant,1239.1,0.0,310
SYN-0342,merchant,3820.2,1.0,964
SYN-0343,merchant,3160.7,0.0,735
SYN-0344,innkeeper,1990.3,1.0,565
SYN-0345,innkeeper,6421.8,0.0,1536
SYN-0346,innkeeper,6412.8,0.0,1845
SYN-0347,innkeeper,1675.3,1.0,415
SYN-0348,innkeeper,3490.9,0.0,892
SYN-0349,scholar,2259.2,0.0,640
SYN-0350,scholar,6587.3,1.0,1572
SYN-0351,scholar,2605.5,0.0,560
SYN-0352,scholar,1701.5,1.0,422
SYN-0353,scholar,3549.9,0.0,1018
CHM-0654,guard,3420.1,0.3333,904
CHM-0655,noble,1744.1,1.0,376
CHM-0656,noble,2956.1,1.0,802
CHM-0657,peasant,2357.9,1.0,704
CHM-0658,peasant,6809.1,1.0,1714
CHM-0659,peasant,2637.4,1.0,660
CHM-0660,peasant,1068.4,1.0,205
CHM-0661,noble,2145.6,1.0,545
CHM-0662,innkeeper,4115.5,1.0,1023
CHM-0663,noble,23089.9,1.0,5087
CHM-0664,scholar,2717.3,1.0,562
CHM-0665,peasant,2389.5,1.0,639
CHM-0666,scholar,10298.8,1.0,2280
CHM-0667,scholar,2654.1,1.0,473
CHM-0668,noble,7099.4,1.0,1618
CHM-0669,scholar,6471.5,1.0,1501
CHM-0670,peasant,11725.1,1.0,2434
CHM-0671,guard,2793.4,1.0,616
CHM-0672,peasant,5887.1,1.0,1479
CHM-0673,peasant,1931.6,1.0,470
CHM-0674,guard,3335.6,1.0,864
CHM-0675,noble,2919.6,1.0,721
CHM-0676,noble,4664.5,1.0,1010
CHM-0677,noble,1547.5,1.0,379
CHM-0678,guard,10348.5,1.0,2220
CHM-0679,peasant,860.9,1.0,107
CHM-0680,noble,3128.9,1.0,772
CHM-0681,peasant,4716.1,1.0,969
CHM-0682,noble,2571.7,1.0,561
CHM-0683,innkeeper,3410.8,1.0,744
CHM-0684,noble,3333.5,1.0,788
CHM-0685,peasant,4176.5,1.0,970
CHM-0686,noble,7159.0,0.0,1704
CHM-0687,peasant,3576.8,1.0,870
CHM-0688,guard,9578.4,0.0,2600
CHM-0689,peasant,2315.8,1.0,427
CHM-0690,peasant,1250.0,0.5,271
CHM-0691,peasant,7431.7,0.5,1447
CHM-0692,noble,2010.0,1.0,468
CHM-0693,guard,3081.5,1.0,744
CHM-0694,noble,13718.6,1.0,1094
CHM-0695,guard,14302.3,1.0,2070
CHM-0696,noble,8765.1,1.0,1554
CHM-0697,peasant,4082.3,1.0,796
CHM-0698,scholar,10748.6,1.0,2015
CHM-0699,peasant,4881.2,1.0,1020
CHM-0700,peasant,1749.0,1.0,279
CHM-0701,peasant,3195.7,1.0,683
CHM-0702,peasant,2752.7,1.0,467
CHM-0703,peasant,1839.9,1.0,283
CHM-0704,guard,2106.0,1.0,352
CHM-0705,scholar,1398.9,1.0,335
CHM-0706,noble,1797.2,1.0,421
CHM-0707,scholar,1713.5,1.0,400
CHM-0708,peasant,8085.2,1.0,2167
CHM-0709,guard,2523.5,0.0,569
CHM-0710,peasant,2166.6,1.0,585
CHM-0711,peasant,3423.2,1.0,863
CHM-0712,guard,5411.3,1.0,999
CHM-0713,noble,10385.3,1.0,1838
CHM-0714,peasant,8253.5,1.0,1374
CHM-0715,peasant,1421.9,0.0,323
CHM-0716,peasant,1362.0,1.0,269
CHM-0717,peasant,2769.3,1.0,573
CHM-0718,peasant,6800.4,1.0,1293
CHM-0719,guard,6416.9,1.0,1329
CHM-0720,noble,3902.9,1.0,465
CHM-0721,peasant,5290.3,1.0,1028
CHM-0722,peasant,8967.7,1.0,1605
CHM-0723,noble,5535.7,1.0,1135
CHM-0724,noble,3646.2,1.0,729
CHM-0725,peasant,2640.1,1.0,582
CHM-0726,noble,6164.1,1.0,1186
CHM-0727,peasant,5349.3,1.0,1128
CHM-0728,guard,2249.4,1.0,269
CHM-0729,peasant,1671.1,1.0,445
CHM-0730,peasant,1572.4,0.5,341
CHM-0731,noble,4131.7,1.0,660
CHM-0732,peasant,6540.7,1.0,1280
CHM-0733,peasant,6954.1,1.0,1218
CHM-0734,noble,6906.2,1.0,1276
CHM-0735,noble,6526.6,1.0,1218
