id,archetype,latency_ms,drift_score,response_len
GUT-0001,guard,2731.0,1.0,109
GUT-0002,guard,8242.5,1.0,1532
GUT-0003,guard,3058.1,1.0,236
GUT-0004,scholar,3155.8,1.0,298
GUT-0005,scholar,3289.5,1.0,344
GUT-0006,scholar,3400.2,1.0,377
GUT-0007,noble,3464.3,1.0,392
GUT-0008,peasant,4225.9,1.0,662
GUT-0009,scholar,3527.1,1.0,388
GUT-0010,noble,3412.2,1.0,370
GUT-0011,noble,3600.1,1.0,407
GUT-0012,noble,5319.4,1.0,698
GUT-0013,noble,4086.7,1.0,469
GUT-0014,noble,6389.2,1.0,850
GUT-0015,noble,3928.7,1.0,473
GUT-0020,noble,10498.0,1.0,2373
GUT-0023,noble,2565.6,1.0,27
GUT-0024,noble,3745.5,1.0,403
GUT-0025,noble,5424.3,1.0,1000
GUT-0026,noble,2629.4,1.0,67
GUT-0027,noble,5834.5,1.0,1116
GUT-0028,noble,3202.6,1.0,247
GUT-0029,noble,3404.7,1.0,214
GUT-0030,noble,3632.5,1.0,286
GUT-0031,noble,2533.6,0.0,41
GUT-0032,noble,2847.7,1.0,114
GUT-0033,noble,4134.1,1.0,505
GUT-0034,noble,2951.5,1.0,113
GUT-0035,peasant,4470.7,1.0,565
GUT-0036,peasant,2852.5,1.0,113
GUT-0037,peasant,3263.2,1.0,230
GUT-0038,peasant,4198.5,1.0,405
GUT-0039,noble,3562.2,1.0,422
GUT-0040,peasant,4969.9,1.0,603
GUT-0041,peasant,3244.0,1.0,233
GUT-0042,noble,5030.4,1.0,750
GUT-0047,peasant,5791.4,1.0,1073
GUT-0048,peasant,3179.8,1.0,191
GUT-0049,peasant,3927.3,1.0,456
GUT-0050,peasant,3974.5,1.0,499
GUT-0051,scholar,4265.4,1.0,497
GUT-0052,noble,4101.0,1.0,493
GUT-0053,noble,2604.0,1.0,61
GUT-0054,noble,2561.6,1.0,33
GUT-0055,noble,4726.1,1.0,723
GUT-0056,noble,4162.1,1.0,495
GUT-0057,noble,2921.4,1.0,183
GUT-0058,noble,21990.9,1.0,4833
GUT-0059,noble,3836.6,1.0,436
GUT-0060,peasant,2411.7,1.0,21
GUT-0061,noble,2744.4,1.0,53
GUT-0062,noble,10571.7,1.0,2020
GUT-0063,noble,3296.7,1.0,307
GUT-0064,noble,9421.6,1.0,1511
GUT-0065,peasant,5276.8,1.0,581
GUT-0066,noble,8491.6,1.0,1779
GUT-0067,noble,2729.9,1.0,49
GUT-0068,noble,8505.1,1.0,1584
GUT-0069,noble,5672.3,1.0,892
GUT-0070,noble,2471.7,1.0,17
GUT-0071,noble,3516.3,1.0,323
GUT-0072,noble,7634.8,1.0,1526
GUT-0073,noble,4127.5,1.0,507
GUT-0074,peasant,4818.1,1.0,610
GUT-0075,noble,3298.0,1.0,164
GUT-0076,peasant,6916.5,1.0,1030
GUT-0077,noble,2950.0,1.0,113
GUT-0078,noble,3596.3,1.0,367
GUT-0079,noble,3186.7,1.0,224
GUT-0080,noble,2976.0,1.0,170
GUT-0081,noble,4659.5,1.0,602
GUT-0082,peasant,7639.4,1.0,1455
GUT-0083,peasant,3409.6,1.0,298
GUT-0094,noble,5356.7,1.0,754
GUT-0095,noble,2612.2,1.0,62
GUT-0096,noble,4418.6,1.0,688
GUT-0097,noble,2593.7,1.0,38
GUT-0098,innkeeper,7411.8,1.0,1473
GUT-0099,innkeeper,4580.9,1.0,593
GUT-0100,innkeeper,4180.3,1.0,565
GUT-0101,innkeeper,4595.8,1.0,583
GUT-0102,innkeeper,4417.1,1.0,540
GUT-0103,noble,3544.6,1.0,398
GUT-0104,noble,4452.5,1.0,542
GUT-0105,noble,2724.8,1.0,93
GUT-0106,noble,3146.3,1.0,220
GUT-0107,noble,4958.8,1.0,716
GUT-0108,noble,2617.9,1.0,50
GUT-0109,noble,11980.4,1.0,2644
GUT-0110,peasant,2525.3,1.0,16
GUT-0111,noble,3108.8,1.0,246
GUT-0119,peasant,4557.3,1.0,586
GUT-0120,noble,3430.8,1.0,340
GUT-0121,peasant,4823.4,1.0,793
GUT-0122,peasant,10660.6,1.0,2128
GUT-0131,noble,11380.3,1.0,887
GUT-0132,noble,6162.6,1.0,791
GUT-0133,noble,5460.6,1.0,861
GUT-0134,noble,3278.3,1.0,256
GUT-0135,noble,3091.6,1.0,87
GUT-0136,peasant,2620.2,1.0,57
GUT-0140,peasant,3164.9,1.0,237
GUT-0141,peasant,2761.3,1.0,99
GUT-0142,peasant,3867.7,1.0,391
GUT-0143,peasant,5990.3,1.0,1000
GUT-0144,peasant,3589.7,1.0,277
GUT-0145,peasant,3856.3,1.0,454
GUT-0146,peasant,7574.6,1.0,1657
GUT-0147,peasant,5150.4,1.0,620
GUT-0148,peasant,3625.4,1.0,293
GUT-0149,peasant,4088.7,1.0,503
GUT-0150,peasant,2554.8,1.0,43
GUT-0151,peasant,3094.8,1.0,180
GUT-0156,peasant,2760.4,1.0,50
GUT-0157,peasant,3254.8,1.0,178
GUT-0158,peasant,6331.1,1.0,1077
GUT-0159,peasant,8241.2,1.0,1673
GUT-0160,peasant,3220.6,1.0,211
GUT-0161,peasant,5240.2,1.0,581
GUT-0162,peasant,5038.8,1.0,418
GUT-0163,peasant,4958.1,0.8,510
GUT-0164,peasant,3341.2,1.0,266
GUT-0165,peasant,4306.1,1.0,504
GUT-0167,scholar,4514.6,1.0,620
GUT-0168,scholar,4598.7,0.8,737
GUT-0169,scholar,2755.2,1.0,79
GUT-0173,scholar,3226.5,1.0,235
GUT-0174,merchant,3831.9,1.0,430
GUT-0175,merchant,3763.4,1.0,328
GUT-0176,merchant,4674.8,1.0,671
GUT-0177,merchant,3698.5,1.0,231
GUT-0178,merchant,15616.5,1.0,3154
GUT-0179,merchant,4675.1,0.8,490
GUT-0180,merchant,12095.6,1.0,2271
GUT-0016,noble,2760.2,1.0,87
GUT-0017,peasant,3263.5,1.0,749
GUT-0018,peasant,2132.1,1.0,537
GUT-0019,peasant,416.6,1.0,60
GUT-0021,noble,5651.4,1.0,1779
GUT-0022,noble,1435.5,1.0,473
GUT-0043,noble,2929.0,1.0,887
GUT-0044,noble,545.5,1.0,73
GUT-0045,noble,1557.6,1.0,337
GUT-0046,noble,1479.6,1.0,394
GUT-0084,guard,972.2,1.0,202
GUT-0085,peasant,1352.7,1.0,328
GUT-0086,peasant,1309.2,1.0,356
GUT-0087,guard,3318.7,1.0,891
GUT-0088,guard,2416.7,1.0,679
GUT-0089,noble,1742.3,1.0,480
GUT-0090,noble,3510.0,1.0,757
GUT-0091,noble,13533.0,1.0,853
GUT-0092,noble,1302.2,1.0,299
GUT-0093,peasant,680.1,1.0,150
GUT-0112,noble,520.3,1.0,113
GUT-0113,noble,314.9,1.0,29
GUT-0114,peasant,3477.5,1.0,1216
GUT-0115,noble,6123.9,1.0,1906
GUT-0116,noble,4109.3,1.0,958
GUT-0117,noble,5505.5,1.0,1158
GUT-0118,noble,1571.8,1.0,326
GUT-0123,noble,1429.0,1.0,322
GUT-0124,peasant,2281.0,1.0,569
GUT-0125,peasant,357.5,1.0,56
GUT-0126,peasant,1372.7,1.0,359
GUT-0127,noble,1603.3,1.0,426
GUT-0128,noble,1976.4,1.0,567
GUT-0129,noble,2832.4,1.0,722
GUT-0130,noble,982.6,1.0,246
GUT-0137,peasant,1389.3,1.0,289
GUT-0138,peasant,239.5,1.0,14
GUT-0139,peasant,2407.4,1.0,472
GUT-0152,peasant,1956.3,1.0,477
GUT-0153,peasant,2386.0,1.0,514
GUT-0154,peasant,1454.1,1.0,301
GUT-0155,peasant,1447.0,1.0,238
GUT-0166,scholar,8535.9,1.0,2130
GUT-0170,scholar,1316.1,0.5,256
GUT-0171,scholar,1280.3,1.0,325
GUT-0172,scholar,2501.0,1.0,665
GUT-0181,merchant,1062.8,0.5,256
GUT-0182,merchant,1048.2,1.0,262
GUT-0183,merchant,3081.6,1.0,822
GUT-0184,merchant,6867.1,1.0,818
GUT-0185,merchant,1137.2,1.0,232
GUT-0186,merchant,1582.0,1.0,284
GUT-0187,clergy,6999.0,0.6667,1244
GUT-0188,clergy,488.1,1.0,82
GUT-0189,clergy,517.1,1.0,48
GUT-0190,clergy,1949.0,1.0,491
GUT-0191,clergy,2359.4,1.0,564
GUT-0192,clergy,2012.5,1.0,491
GUT-0193,clergy,7966.8,1.0,1679
GUT-0194,clergy,659.7,0.75,107
GUT-0195,clergy,1812.8,1.0,266
GUT-0196,clergy,3190.2,1.0,810
GUT-0197,clergy,12324.5,1.0,491
GUT-0198,clergy,6085.0,1.0,1078
GUT-0199,clergy,1134.0,1.0,266
GUT-0200,clergy,1878.3,1.0,454
GUT-0201,clergy,985.2,0.6667,177
GUT-0202,clergy,2131.2,1.0,493
GUT-0203,clergy,728.7,1.0,94
GUT-0204,clergy,1124.5,1.0,197
GUT-0205,clergy,2288.6,1.0,540
GUT-0206,clergy,1454.7,1.0,341
GUT-0207,clergy,1875.6,1.0,342
GUT-0208,clergy,2421.9,1.0,657
GUT-0209,clergy,926.1,1.0,192
GUT-0210,clergy,2928.2,1.0,684
GUT-0211,clergy,1763.4,1.0,377
GUT-0212,scholar,2264.7,1.0,594
GUT-0213,scholar,1801.6,1.0,307
GUT-0214,scholar,778.2,1.0,129
GUT-0215,merchant,10522.8,1.0,1457
GUT-0216,merchant,1569.1,1.0,267
GUT-0217,merchant,3592.2,1.0,732
GUT-0218,merchant,851.4,1.0,167
GUT-0219,merchant,1709.9,1.0,424
GUT-0220,merchant,610.6,1.0,115
GUT-0221,merchant,1555.7,1.0,380
GUT-0222,merchant,2100.7,1.0,422
GUT-0223,merchant,10608.1,1.0,2140
GUT-0224,merchant,2610.7,1.0,678
GUT-0225,scholar,356.6,1.0,38
GUT-0226,scholar,1685.2,1.0,450
GUT-0227,clergy,1163.7,1.0,222
GUT-0228,clergy,1560.9,1.0,274
GUT-0229,clergy,6207.7,1.0,1368
GUT-0230,clergy,1574.9,0.6667,331
GUT-0231,clergy,938.4,1.0,233
GUT-0232,clergy,2376.1,1.0,576
GUT-0233,clergy,6974.5,1.0,1294
GUT-0234,clergy,2098.1,1.0,525
GUT-0235,clergy,1651.6,1.0,394
GUT-0236,clergy,1299.3,1.0,229
GUT-0237,clergy,1533.6,1.0,269
GUT-0238,clergy,1490.1,1.0,279
GUT-0239,clergy,395.0,1.0,56
GUT-0240,clergy,1626.5,1.0,363
GUT-0241,clergy,1090.9,1.0,160
GUT-0242,clergy,3350.8,1.0,851
GUT-0243,clergy,1611.4,1.0,425
GUT-0244,clergy,823.3,1.0,95
GUT-0245,clergy,2919.4,0.75,630
GUT-0246,clergy,1986.2,1.0,404
GUT-0247,clergy,2658.7,1.0,534
GUT-0248,clergy,3538.9,1.0,94
GUT-0249,clergy,1235.4,1.0,264
GUT-0250,clergy,2770.7,1.0,675
GUT-0251,clergy,1898.8,1.0,491
GUT-0252,clergy,306.8,1.0,19
GUT-0253,clergy,1172.5,1.0,205
GUT-0254,clergy,364.7,1.0,38
GUT-0255,clergy,4918.3,1.0,360
GUT-0256,clergy,1819.2,1.0,380
GUT-0257,clergy,1241.0,1.0,226
GUT-0258,clergy,2380.0,1.0,417
GUT-0259,clergy,3868.1,1.0,989
GUT-0260,clergy,1355.1,1.0,241
GUT-0261,clergy,1621.1,1.0,401
GUT-0262,clergy,1765.3,1.0,386
GUT-0263,clergy,7664.0,1.0,1977
GUT-0264,clergy,1540.2,1.0,298
GUT-0265,clergy,3193.0,1.0,733
GUT-0266,clergy,1757.8,1.0,380
GUT-0267,clergy,1268.5,0.0,272
GUT-0268,clergy,1523.4,1.0,373
GUT-0269,clergy,2181.2,1.0,480
GUT-0270,clergy,2216.0,1.0,487
GUT-0271,clergy,9167.8,1.0,2274
GUT-0272,clergy,1978.4,1.0,376
GUT-0273,clergy,4404.5,1.0,1128
GUT-0274,clergy,1610.7,1.0,347
GUT-0275,clergy,267.7,1.0,26
GUT-0276,peasant,8693.0,1.0,2201
GUT-0277,peasant,1535.7,1.0,267
GUT-0278,clergy,1122.6,1.0,216
GUT-0279,clergy,4597.1,1.0,1019
GUT-0280,clergy,1844.2,1.0,414
GUT-0281,clergy,732.7,1.0,73
GUT-0282,clergy,6578.6,1.0,1591
GUT-0283,clergy,12221.2,1.0,2704
GUT-0284,clergy,318.9,1.0,35
GUT-0285,clergy,1853.9,1.0,496
GUT-0286,clergy,2696.8,1.0,686
GUT-0287,clergy,1699.9,1.0,341
GUT-0288,clergy,1093.4,1.0,208
GUT-0289,clergy,1816.3,1.0,451
GUT-0290,clergy,1770.0,1.0,389
GUT-0291,clergy,2096.5,1.0,455
GUT-0292,clergy,6708.8,1.0,367
