id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,9515.7,1.0,231
SYN-0328,herbalist,2156.0,1.0,59
SYN-0329,herbalist,1415.5,1.0,35
SYN-0330,herbalist,3421.0,1.0,117
SYN-0331,herbalist,1865.3,0.0,44
SYN-0332,guard,3553.2,1.0,97
SYN-0333,guard,1338.9,1.0,49
SYN-0334,guard,1293.9,1.0,41
SYN-0335,guard,2346.2,1.0,51
SYN-0336,guard,2837.9,0.0,66
SYN-0337,guard,1369.2,0.0,39
SYN-0338,guard,4626.2,1.0,46
SYN-0339,merchant,1509.1,1.0,64
SYN-0340,merchant,1525.7,1.0,48
SYN-0341,merchant,2117.2,0.0,80
SYN-0342,merchant,2623.5,1.0,40
SYN-0343,merchant,2488.3,0.0,53
SYN-0344,innkeeper,3988.9,1.0,93
SYN-0345,innkeeper,7854.2,0.0,272
SYN-0346,innkeeper,1588.4,1.0,62
SYN-0347,innkeeper,5513.9,1.0,44
SYN-0348,innkeeper,5874.7,0.0,113
SYN-0349,scholar,12473.0,1.0,303
SYN-0350,scholar,8575.2,1.0,262
SYN-0351,scholar,9093.2,1.0,304
SYN-0352,scholar,1551.0,1.0,33
SYN-0353,scholar,8589.9,0.0,230
CHM-0654,guard,1246.9,1.0,34
CHM-0655,noble,1113.7,1.0,29
CHM-0656,noble,2903.0,0.3333,101
CHM-0657,peasant,1414.8,1.0,40
CHM-0658,peasant,4200.4,1.0,134
CHM-0659,peasant,7770.6,1.0,323
CHM-0660,peasant,1425.8,0.75,44
CHM-0661,noble,3878.8,0.75,124
CHM-0662,innkeeper,2036.0,1.0,59
CHM-0663,noble,2801.0,1.0,79
CHM-0664,scholar,3851.5,1.0,117
CHM-0665,peasant,3438.9,1.0,111
CHM-0666,scholar,3673.7,1.0,123
CHM-0667,scholar,3333.3,0.75,84
CHM-0668,noble,3429.0,1.0,87
CHM-0669,scholar,10784.2,1.0,307
CHM-0670,peasant,1446.7,0.3333,37
CHM-0671,guard,3168.1,1.0,128
CHM-0672,peasant,1954.4,1.0,73
CHM-0673,peasant,1457.1,1.0,43
CHM-0674,guard,2144.7,1.0,53
CHM-0675,noble,2994.8,0.6667,111
CHM-0676,noble,3207.1,1.0,133
CHM-0677,noble,2598.3,1.0,114
CHM-0678,guard,1379.6,1.0,45
CHM-0679,peasant,1605.0,1.0,50
CHM-0680,noble,957.9,1.0,18
CHM-0681,peasant,3178.2,1.0,115
CHM-0682,noble,1948.1,1.0,55
CHM-0683,innkeeper,2686.3,1.0,93
CHM-0684,noble,2036.5,1.0,79
CHM-0685,peasant,1312.5,1.0,45
CHM-0686,noble,4766.4,0.0,108
CHM-0687,peasant,2540.7,1.0,55
CHM-0688,guard,3143.6,0.0,54
CHM-0689,peasant,4480.8,1.0,118
CHM-0690,peasant,3059.1,1.0,51
CHM-0691,peasant,3554.7,1.0,106
CHM-0692,noble,1508.8,1.0,35
CHM-0693,guard,1662.2,1.0,50
CHM-0694,noble,1718.5,1.0,51
CHM-0695,guard,1629.0,1.0,45
CHM-0696,noble,2884.6,1.0,83
CHM-0697,peasant,2928.6,1.0,94
CHM-0698,scholar,3540.7,1.0,150
CHM-0699,peasant,2831.2,1.0,87
CHM-0700,peasant,1863.6,0.6667,57
CHM-0701,peasant,1840.9,1.0,65
CHM-0702,peasant,2149.1,1.0,76
CHM-0703,peasant,2226.8,1.0,66
CHM-0704,guard,1484.5,1.0,50
CHM-0705,scholar,3590.8,1.0,142
CHM-0706,noble,980.3,1.0,26
CHM-0707,scholar,2342.9,1.0,68
CHM-0708,peasant,1719.7,1.0,60
CHM-0709,guard,2431.3,1.0,43
CHM-0710,peasant,2428.6,1.0,63
CHM-0711,peasant,3271.2,1.0,84
CHM-0712,guard,1591.8,1.0,45
CHM-0713,noble,1937.2,1.0,60
CHM-0714,peasant,1728.1,1.0,33
CHM-0715,peasant,2739.2,0.0,93
CHM-0716,peasant,1695.0,0.3333,53
CHM-0717,peasant,2023.1,1.0,54
CHM-0718,peasant,1979.4,1.0,53
CHM-0719,guard,2280.2,1.0,60
CHM-0720,noble,7668.5,1.0,262
CHM-0721,peasant,1142.6,1.0,32
CHM-0722,peasant,2362.8,1.0,54
CHM-0723,noble,2492.5,1.0,70
CHM-0724,noble,2103.9,1.0,62
CHM-0725,peasant,1491.3,1.0,49
CHM-0726,noble,4400.7,1.0,151
CHM-0727,peasant,1869.5,1.0,48
CHM-0728,guard,1975.1,1.0,68
CHM-0729,peasant,1713.3,1.0,37
CHM-0730,peasant,1842.8,1.0,61
CHM-0731,noble,3598.2,1.0,125
CHM-0732,peasant,8436.2,1.0,214
CHM-0733,peasant,2719.2,0.6667,75
CHM-0734,noble,3995.2,1.0,81
CHM-0735,noble,3050.6,1.0,69
CHM-0736,noble,2462.2,1.0,86
CHM-0737,noble,1755.6,0.0,37
CHM-0738,peasant,1748.0,0.6667,61
CHM-0739,noble,1865.4,1.0,55
CHM-0740,peasant,1715.4,1.0,39
CHM-0741,noble,3133.1,0.75,114
CHM-0742,peasant,7769.0,1.0,232
CHM-0743,guard,1597.0,1.0,45
CHM-0744,peasant,1960.8,0.5,64
CHM-0745,noble,1046.7,1.0,35
CHM-0746,peasant,2593.5,1.0,80
CHM-0747,peasant,4302.7,0.5,93
CHM-0748,peasant,4578.5,1.0,67
CHM-0749,guard,3035.0,1.0,68
CHM-0750,peasant,6011.5,0.0,109
CHM-0751,noble,4074.2,1.0,95
CHM-0752,scholar,2405.9,0.6667,88
CHM-0753,peasant,1998.7,1.0,56
CHM-0754,noble,3360.1,1.0,101
CHM-0755,noble,2223.4,1.0,68
CHM-0756,guard,1712.4,1.0,20
CHM-0757,peasant,3823.6,0.75,95
CHM-0758,noble,1053.2,1.0,27
CHM-0759,noble,2112.5,1.0,69
CHM-0760,peasant,1535.0,1.0,36
CHM-0761,noble,1339.2,1.0,35
CHM-0762,peasant,2039.3,1.0,55
CHM-0763,peasant,1335.7,1.0,38
CHM-0764,noble,1803.1,1.0,47
CHM-0765,noble,1572.4,1.0,49
CHM-0766,scholar,7948.7,1.0,320
CHM-0767,noble,3538.3,1.0,96
CHM-0768,peasant,1774.1,1.0,46
CHM-0769,guard,2961.1,1.0,90
