id,archetype,latency_ms,drift_score,response_len
GUT-0001,guard,4388.8,1.0,39
GUT-0002,guard,16648.9,1.0,237
GUT-0003,guard,3854.6,1.0,28
GUT-0004,scholar,3409.5,0.6667,49
GUT-0005,scholar,4790.0,1.0,38
GUT-0006,scholar,5501.7,1.0,55
GUT-0007,noble,4715.1,1.0,44
GUT-0008,peasant,17378.5,1.0,321
GUT-0009,scholar,5476.0,1.0,62
GUT-0010,noble,16825.0,1.0,241
GUT-0011,noble,19246.2,1.0,243
GUT-0012,noble,5312.5,1.0,51
GUT-0013,noble,4931.5,1.0,42
GUT-0014,noble,16698.6,1.0,278
GUT-0015,noble,5670.4,1.0,52
GUT-0020,noble,15495.5,1.0,307
GUT-0023,noble,17414.9,1.0,280
GUT-0024,noble,6374.1,0.0,74
GUT-0025,noble,4745.6,1.0,35
GUT-0026,noble,16447.6,1.0,229
GUT-0027,noble,8940.1,1.0,109
GUT-0028,noble,4637.1,1.0,36
GUT-0029,noble,4322.1,0.5,29
GUT-0030,noble,4742.2,1.0,32
GUT-0031,noble,4740.6,0.0,34
GUT-0032,noble,4720.8,1.0,32
GUT-0033,noble,4737.3,1.0,32
GUT-0034,noble,19119.5,1.0,277
GUT-0035,peasant,6985.2,1.0,76
GUT-0036,peasant,5748.3,1.0,55
GUT-0037,peasant,6817.4,1.0,65
GUT-0038,peasant,5588.6,1.0,46
GUT-0039,noble,4730.8,1.0,50
GUT-0040,peasant,5575.9,1.0,48
GUT-0041,peasant,6419.4,1.0,57
GUT-0042,noble,18830.3,1.0,215
GUT-0047,peasant,8957.2,1.0,114
GUT-0048,peasant,5327.9,1.0,44
GUT-0049,peasant,4941.8,1.0,47
GUT-0050,peasant,5882.3,1.0,59
GUT-0051,scholar,5058.3,1.0,45
GUT-0052,noble,4337.9,1.0,31
GUT-0053,noble,17505.1,1.0,274
GUT-0054,noble,5416.3,1.0,52
GUT-0055,noble,5276.0,1.0,56
GUT-0056,noble,4977.0,1.0,51
GUT-0057,noble,17280.3,1.0,254
GUT-0058,noble,3968.5,1.0,24
GUT-0059,noble,6512.9,1.0,63
GUT-0060,peasant,7793.7,1.0,73
GUT-0061,noble,15497.6,1.0,259
GUT-0062,noble,16501.3,1.0,307
GUT-0063,noble,5387.2,1.0,51
GUT-0064,noble,13129.4,1.0,209
GUT-0065,peasant,4951.2,1.0,43
GUT-0066,noble,3680.3,1.0,28
GUT-0067,noble,18232.2,1.0,240
GUT-0068,noble,5362.0,0.0,54
GUT-0069,noble,18885.9,1.0,288
GUT-0070,noble,5407.2,1.0,38
GUT-0071,noble,5659.1,1.0,47
GUT-0072,noble,3511.3,1.0,24
GUT-0073,noble,19181.1,1.0,337
GUT-0074,peasant,4719.8,1.0,35
GUT-0075,noble,18541.8,1.0,209
GUT-0076,peasant,9513.0,0.75,118
GUT-0077,noble,5016.9,1.0,57
GUT-0078,noble,3153.6,1.0,22
GUT-0079,noble,6507.0,1.0,70
GUT-0080,noble,17578.2,1.0,272
GUT-0081,noble,18427.8,1.0,264
GUT-0082,peasant,12027.8,1.0,178
GUT-0083,peasant,18717.4,1.0,298
GUT-0094,noble,4908.6,1.0,47
GUT-0095,noble,17690.8,1.0,321
GUT-0096,noble,4106.7,1.0,30
GUT-0097,noble,6822.0,1.0,63
GUT-0098,innkeeper,4101.6,0.0,32
GUT-0099,innkeeper,8280.5,0.6667,107
GUT-0100,innkeeper,18197.0,0.5,308
GUT-0101,innkeeper,5769.1,0.5,63
GUT-0102,innkeeper,4440.9,1.0,41
GUT-0103,noble,5251.4,1.0,42
GUT-0104,noble,9747.4,1.0,135
GUT-0105,noble,18563.3,1.0,233
GUT-0106,noble,4441.1,1.0,38
GUT-0107,noble,5144.8,1.0,34
GUT-0108,noble,18016.5,1.0,259
GUT-0109,noble,14589.0,1.0,206
GUT-0110,peasant,4939.7,1.0,40
GUT-0111,noble,3633.6,1.0,22
GUT-0119,peasant,5851.1,1.0,59
GUT-0120,noble,4934.1,1.0,46
GUT-0121,peasant,7180.9,1.0,78
GUT-0122,peasant,4942.5,0.0,33
GUT-0131,noble,18799.4,1.0,285
GUT-0132,noble,19591.4,0.5,271
GUT-0133,noble,17623.3,1.0,269
GUT-0134,noble,5558.1,1.0,47
GUT-0135,noble,3888.7,1.0,24
GUT-0136,peasant,4114.0,1.0,35
GUT-0140,peasant,7674.6,0.5,68
GUT-0141,peasant,18823.4,1.0,248
GUT-0142,peasant,6411.6,1.0,58
GUT-0143,peasant,6844.5,1.0,63
GUT-0144,peasant,13031.9,1.0,145
GUT-0145,peasant,8632.9,1.0,58
GUT-0146,peasant,23461.3,1.0,253
GUT-0147,peasant,30552.4,1.0,255
GUT-0148,peasant,11393.1,0.6667,124
GUT-0149,peasant,4823.1,0.0,168
GUT-0150,peasant,2041.7,1.0,81
GUT-0151,peasant,1501.8,1.0,47
GUT-0156,peasant,1905.4,1.0,65
GUT-0157,peasant,3044.0,0.6667,71
GUT-0158,peasant,3537.3,0.3333,105
GUT-0159,peasant,2569.0,1.0,36
GUT-0160,peasant,8543.6,1.0,226
GUT-0161,peasant,8744.4,1.0,240
GUT-0162,peasant,8366.2,0.5,221
GUT-0163,peasant,8963.0,1.0,251
GUT-0164,peasant,4550.8,1.0,43
GUT-0165,peasant,8499.5,1.0,226
GUT-0167,scholar,1222.6,0.6667,37
GUT-0168,scholar,1456.4,0.8,47
GUT-0169,scholar,3443.4,1.0,75
GUT-0173,scholar,3939.6,0.3333,85
GUT-0174,merchant,12856.7,0.6667,307
GUT-0175,merchant,1284.4,1.0,31
GUT-0176,merchant,2212.6,0.6667,58
GUT-0177,merchant,9667.0,1.0,204
GUT-0178,merchant,9091.7,1.0,329
GUT-0179,merchant,2638.9,1.0,60
GUT-0180,merchant,9019.9,1.0,246
GUT-0016,noble,1194.7,1.0,27
GUT-0017,peasant,7730.9,1.0,133
GUT-0018,peasant,1104.1,1.0,27
GUT-0019,peasant,7843.5,1.0,258
GUT-0021,noble,1410.5,1.0,41
GUT-0022,noble,1415.0,1.0,36
GUT-0043,noble,2368.2,1.0,61
GUT-0044,noble,7487.5,1.0,245
GUT-0045,noble,1306.0,1.0,31
GUT-0046,noble,2203.0,1.0,56
GUT-0084,guard,4133.8,1.0,65
GUT-0085,peasant,8951.6,1.0,249
GUT-0086,peasant,2468.1,0.6667,58
