id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,10834.8,1.0,234
SYN-0328,herbalist,5230.6,1.0,97
SYN-0329,herbalist,3471.2,1.0,48
SYN-0330,herbalist,14430.5,1.0,266
SYN-0331,herbalist,3572.9,0.0,81
SYN-0332,guard,7226.1,1.0,135
SYN-0333,guard,3732.9,1.0,54
SYN-0334,guard,5103.7,1.0,64
SYN-0335,guard,3730.0,0.0,60
SYN-0336,guard,16198.8,0.0,318
SYN-0337,guard,4683.2,0.0,68
SYN-0338,guard,5772.8,1.0,76
SYN-0339,merchant,7392.3,1.0,96
SYN-0340,merchant,3591.3,1.0,41
SYN-0341,merchant,6199.8,0.0,77
SYN-0342,merchant,5480.1,1.0,68
SYN-0343,merchant,14965.4,0.0,296
SYN-0344,innkeeper,7950.6,1.0,102
SYN-0345,innkeeper,15131.3,0.0,133
SYN-0346,innkeeper,7670.7,0.0,103
SYN-0347,innkeeper,4459.1,1.0,47
SYN-0348,innkeeper,4691.0,0.0,49
SYN-0349,scholar,7440.5,0.0,144
SYN-0350,scholar,6194.4,1.0,84
SYN-0351,scholar,5394.7,0.0,88
SYN-0352,scholar,6119.0,1.0,73
SYN-0353,scholar,6433.5,0.0,50
CHM-0654,guard,7872.2,0.25,88
CHM-0655,noble,7096.4,1.0,76
CHM-0656,noble,8850.4,1.0,111
CHM-0657,peasant,8047.9,1.0,110
CHM-0658,peasant,13498.0,1.0,219
CHM-0659,peasant,7295.3,1.0,128
CHM-0660,peasant,6060.5,0.75,63
CHM-0661,noble,11187.6,1.0,220
CHM-0662,innkeeper,9857.8,1.0,119
CHM-0663,noble,6926.0,1.0,91
CHM-0664,scholar,10358.1,1.0,191
CHM-0665,peasant,8980.9,1.0,147
CHM-0666,scholar,16732.4,1.0,336
CHM-0667,scholar,13228.6,1.0,207
CHM-0668,noble,12475.9,0.6667,209
CHM-0669,scholar,10977.5,0.5,175
CHM-0670,peasant,6099.6,0.3333,81
CHM-0671,guard,8464.0,0.5,120
CHM-0672,peasant,8277.1,1.0,131
CHM-0673,peasant,7591.2,1.0,137
CHM-0674,guard,12202.4,1.0,177
CHM-0675,noble,12942.9,1.0,237
CHM-0676,noble,8257.7,1.0,155
CHM-0677,noble,14770.0,1.0,243
CHM-0678,guard,8269.3,1.0,126
CHM-0679,peasant,8491.9,1.0,141
CHM-0680,noble,6480.1,0.6667,84
CHM-0681,peasant,13903.5,0.6667,239
CHM-0682,noble,14225.3,1.0,188
CHM-0683,innkeeper,6967.8,1.0,110
CHM-0684,noble,16565.9,1.0,302
CHM-0685,peasant,10477.0,1.0,139
CHM-0686,noble,14126.3,0.0,259
CHM-0687,peasant,8112.6,1.0,96
CHM-0688,guard,9800.2,0.0,123
CHM-0689,peasant,12299.3,1.0,176
CHM-0690,peasant,9446.5,1.0,61
CHM-0691,peasant,10709.9,1.0,136
CHM-0692,noble,5641.7,1.0,45
CHM-0693,guard,14380.5,1.0,162
CHM-0694,noble,12190.8,1.0,185
CHM-0695,guard,6760.3,1.0,64
CHM-0696,noble,9104.0,1.0,99
CHM-0697,peasant,11506.0,1.0,141
CHM-0698,scholar,17507.1,1.0,272
CHM-0699,peasant,13809.9,0.75,156
CHM-0700,peasant,11241.0,0.75,144
CHM-0701,peasant,18660.7,1.0,295
CHM-0702,peasant,6021.1,1.0,60
CHM-0703,peasant,15143.9,1.0,263
CHM-0704,guard,8779.1,1.0,129
CHM-0705,scholar,8802.1,1.0,108
CHM-0706,noble,10644.3,1.0,154
CHM-0707,scholar,18603.6,1.0,290
