id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,1133.8,1.0,24
SYN-0328,herbalist,566.1,1.0,42
SYN-0329,herbalist,551.5,1.0,51
SYN-0330,herbalist,252.1,1.0,19
SYN-0331,herbalist,308.5,1.0,22
SYN-0332,guard,553.1,1.0,46
SYN-0333,guard,1365.4,1.0,145
SYN-0334,guard,1557.9,1.0,153
SYN-0335,guard,260.3,0.0,17
SYN-0336,guard,2089.2,1.0,184
SYN-0337,guard,873.0,1.0,59
SYN-0338,guard,1372.3,1.0,156
SYN-0339,merchant,624.0,1.0,70
SYN-0340,merchant,450.5,1.0,41
SYN-0341,merchant,551.4,0.0,46
SYN-0342,merchant,337.6,1.0,23
SYN-0343,merchant,914.6,1.0,103
SYN-0344,innkeeper,427.3,0.6667,38
SYN-0345,innkeeper,222.6,0.0,17
SYN-0346,innkeeper,598.8,1.0,65
SYN-0347,innkeeper,1063.8,1.0,113
SYN-0348,innkeeper,458.5,1.0,41
SYN-0349,scholar,1071.8,1.0,123
SYN-0350,scholar,656.1,0.75,79
SYN-0351,scholar,534.8,1.0,56
SYN-0352,scholar,454.9,1.0,34
SYN-0353,scholar,1531.7,1.0,132
CHM-0654,guard,1263.0,1.0,108
CHM-0655,noble,676.1,1.0,46
CHM-0656,noble,428.2,1.0,24
CHM-0657,peasant,1424.8,0.5,128
CHM-0658,peasant,344.1,1.0,23
CHM-0659,peasant,1427.1,1.0,160
CHM-0660,peasant,859.7,0.75,97
CHM-0661,noble,1217.2,0.5,128
CHM-0662,innkeeper,659.6,1.0,58
CHM-0663,noble,652.9,1.0,59
CHM-0664,scholar,392.0,0.5,31
CHM-0665,peasant,343.6,1.0,24
CHM-0666,scholar,1197.2,0.5,132
CHM-0667,scholar,1194.3,0.5,132
CHM-0668,noble,844.9,0.8,78
CHM-0669,scholar,1063.4,0.3333,92
CHM-0670,peasant,487.0,0.75,31
CHM-0671,guard,852.8,1.0,59
CHM-0672,peasant,618.0,0.6,41
CHM-0673,peasant,720.6,1.0,44
CHM-0674,guard,1305.3,0.6,122
CHM-0675,noble,938.7,0.6667,91
CHM-0676,noble,1213.5,1.0,139
CHM-0677,noble,670.3,1.0,59
CHM-0678,guard,1390.1,1.0,148
CHM-0679,peasant,372.2,1.0,24
CHM-0680,noble,432.0,0.3333,37
CHM-0681,peasant,580.0,1.0,44
CHM-0682,noble,712.0,1.0,75
CHM-0683,innkeeper,336.2,1.0,24
CHM-0684,noble,651.7,0.6667,70
CHM-0685,peasant,227.6,0.0,14
CHM-0686,noble,516.0,1.0,41
CHM-0687,peasant,354.5,0.0,28
CHM-0688,guard,431.4,1.0,43
CHM-0689,peasant,733.0,0.75,62
CHM-0690,peasant,305.4,0.6667,19
CHM-0691,peasant,820.4,1.0,66
CHM-0692,noble,987.7,1.0,67
CHM-0693,guard,1210.7,0.3333,124
CHM-0694,noble,1282.7,1.0,120
CHM-0695,guard,383.9,1.0,36
CHM-0696,noble,341.0,0.5,22
CHM-0697,peasant,704.1,1.0,77
CHM-0698,scholar,698.0,0.6667,64
CHM-0699,peasant,578.2,1.0,56
CHM-0700,peasant,347.7,1.0,24
CHM-0701,peasant,677.9,1.0,59
CHM-0702,peasant,355.3,1.0,24
CHM-0703,peasant,924.2,1.0,80
CHM-0704,guard,320.2,0.6667,19
CHM-0705,scholar,801.0,0.6667,79
CHM-0706,noble,1055.0,0.6667,127
CHM-0707,scholar,674.6,1.0,59
CHM-0708,peasant,429.7,1.0,38
CHM-0709,guard,1113.7,1.0,122
CHM-0710,peasant,770.6,1.0,58
CHM-0711,peasant,1434.6,0.75,142
CHM-0712,guard,523.2,1.0,37
CHM-0713,noble,691.5,1.0,53
CHM-0714,peasant,553.9,1.0,32
CHM-0715,peasant,773.8,1.0,77
CHM-0716,peasant,312.3,0.5,26
CHM-0717,peasant,341.3,1.0,24
CHM-0718,peasant,1389.6,1.0,156
CHM-0719,guard,1192.0,1.0,127
CHM-0720,noble,721.2,0.5,64
CHM-0721,peasant,696.1,0.6667,59
CHM-0722,peasant,1505.1,0.5,178
CHM-0723,noble,617.6,0.6667,58
CHM-0724,noble,675.1,0.5,64
CHM-0725,peasant,435.1,1.0,43
CHM-0726,noble,360.4,1.0,24
CHM-0727,peasant,435.8,0.5,34
CHM-0728,guard,905.0,0.8,79
CHM-0729,peasant,418.0,1.0,24
CHM-0730,peasant,430.4,1.0,24
CHM-0731,noble,1026.0,0.75,79
CHM-0732,peasant,1040.3,0.75,92
CHM-0733,peasant,695.3,0.5,46
CHM-0734,noble,785.8,1.0,77
CHM-0735,noble,288.9,1.0,23
CHM-0736,noble,1008.0,0.5,107
CHM-0737,noble,241.3,0.0,14
CHM-0738,peasant,884.8,1.0,79
CHM-0739,noble,615.7,1.0,58
CHM-0740,peasant,828.0,0.8333,84
CHM-0741,noble,436.8,0.6667,35
CHM-0742,peasant,689.5,1.0,59
CHM-0743,guard,1423.2,0.8,163
